Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louie Ditta,Totals
"Justice of the Peace, Precinct 8, Place 2",0051,353,243,596,1689,35.29%,475,475
"Justice of the Peace, Precinct 8, Place 2",0084,208,218,426,1373,31.03%,331,331
"Justice of the Peace, Precinct 8, Place 2",0088,123,118,241,693,34.78%,164,164
"Justice of the Peace, Precinct 8, Place 2",0090,844,790,1634,3700,44.16%,1265,1265
"Justice of the Peace, Precinct 8, Place 2",0091,219,222,441,1505,29.30%,297,297
"Justice of the Peace, Precinct 8, Place 2",0092,695,462,1157,2242,51.61,%,833,833
"Justice of the Peace, Precinct 8, Place 2",0170,271,141,412,1869,22.04%,245,245
"Justice of the Peace, Precinct 8, Place 2",0174,829,733,1562,3296,47.39%,1178,1178
"Justice of the Peace, Precinct 8, Place 2",0242,173,162,335,1596,20.99%,221,221
"Justice of the Peace, Precinct 8, Place 2",0267,145,166,312,1327,23.51%,182,182
"Justice of the Peace, Precinct 8, Place 2",0277,170,186,356,1492,23.86%,203,203
"Justice of the Peace, Precinct 8, Place 2",0279,250,223,473,1941,24.37%,317,317
"Justice of the Peace, Precinct 8, Place 2",0290,245,298,543,1642,33.07%,429,429
"Justice of the Peace, Precinct 8, Place 2",0302,353,343,696,2720,25.59%,473,473
"Justice of the Peace, Precinct 8, Place 2",0306,649,342,991,1879,52.74%,772,772
"Justice of the Peace, Precinct 8, Place 2",0307,733,670,1403,3099,45.27%,1042,1042
"Justice of the Peace, Precinct 8, Place 2",0333,524,714,1238,3021,40.98%,937,937
"Justice of the Peace, Precinct 8, Place 2",0346,0,1,1,3,33.33%,1,1
"Justice of the Peace, Precinct 8, Place 2",0347,592,436,1028,3387,30.35%,753,753
"Justice of the Peace, Precinct 8, Place 2",0348,438,208,646,1708,37.82%,528,528
"Justice of the Peace, Precinct 8, Place 2",0352,520,339,859,3205,26.80%,667,667
"Justice of the Peace, Precinct 8, Place 2",0377,526,583,1109,2920,37.98%,856,856
"Justice of the Peace, Precinct 8, Place 2",0391,508,260,768,1883,40.79%,537,537
"Justice of the Peace, Precinct 8, Place 2",0393,165,185,350,1292,27.09%,193,193
"Justice of the Peace, Precinct 8, Place 2",0404,419,330,749,2585,28.97%,501,501
"Justice of the Peace, Precinct 8, Place 2",0415,539,598,1137,2203,51.61%,828,828
"Justice of the Peace, Precinct 8, Place 2",0416,538,558,1096,3791,28.91%,693,693
"Justice of the Peace, Precinct 8, Place 2",0419,571,324,895,2658,33.67%,655,655
"Justice of the Peace, Precinct 8, Place 2",0420,1036,874,1910,4762,40.11%,1634,1634
"Justice of the Peace, Precinct 8, Place 2",0470,185,176,361,1326,27.22%,288,288
