Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Laryssa Korduba,Totals
"Justice of the Peace, Precinct 4, Place 2",0006,656,456,1112,3702,30.04%,722,722
"Justice of the Peace, Precinct 4, Place 2",0035,4,0,4,11,36.36%,1,1
"Justice of the Peace, Precinct 4, Place 2",0041,176,230,406,1334,30.43%,195,195
"Justice of the Peace, Precinct 4, Place 2",0049,584,482,1066,3343,31.89%,812,812
"Justice of the Peace, Precinct 4, Place 2",0074,1153,782,1935,3583,54.01%,1533,1533
"Justice of the Peace, Precinct 4, Place 2",0082,639,671,1310,3368,38.90%,1046,1046
"Justice of the Peace, Precinct 4, Place 2",0108,668,272,940,3365,27.93%,612,612
"Justice of the Peace, Precinct 4, Place 2",0110,654,494,1148,3042,37.74%,812,812
"Justice of the Peace, Precinct 4, Place 2",0111,816,795,1611,4102,39.27%,1250,1250
"Justice of the Peace, Precinct 4, Place 2",0112,542,485,1027,2976,34.51%,795,795
"Justice of the Peace, Precinct 4, Place 2",0113,562,429,991,2647,37.44%,676,676
"Justice of the Peace, Precinct 4, Place 2",0114,707,547,1254,3311,37.87%,1059,1059
"Justice of the Peace, Precinct 4, Place 2",0124,1734,1292,3026,7254,41.71%,2500,2500
"Justice of the Peace, Precinct 4, Place 2",0125,415,332,747,2405,31.06%,508,508
"Justice of the Peace, Precinct 4, Place 2",0126,893,467,1360,3100,43.87%,1219,1219
"Justice of the Peace, Precinct 4, Place 2",0127,435,154,589,1836,32.08%,444,444
"Justice of the Peace, Precinct 4, Place 2",0173,817,739,1556,3599,43.23%,1311,1311
"Justice of the Peace, Precinct 4, Place 2",0199,812,661,1473,3216,45.80%,1186,1186
"Justice of the Peace, Precinct 4, Place 2",0225,376,405,781,3305,23.63%,456,456
"Justice of the Peace, Precinct 4, Place 2",0244,480,425,905,3117,29.03%,567,567
"Justice of the Peace, Precinct 4, Place 2",0245,945,799,1745,5828,29.94%,1292,1292
"Justice of the Peace, Precinct 4, Place 2",0246,684,513,1197,3315,36.11%,903,903
"Justice of the Peace, Precinct 4, Place 2",0263,858,712,1570,3693,42.51%,1249,1249
"Justice of the Peace, Precinct 4, Place 2",0300,1389,1016,2405,5406,44.49%,2003,2003
"Justice of the Peace, Precinct 4, Place 2",0334,83,42,125,742,16.85%,29,29
"Justice of the Peace, Precinct 4, Place 2",0340,1038,594,1632,3765,43.35%,1270,1270
"Justice of the Peace, Precinct 4, Place 2",0342,675,605,1280,6526,19.61%,322,322
"Justice of the Peace, Precinct 4, Place 2",0351,1491,710,2201,4712,46.71%,1810,1810
"Justice of the Peace, Precinct 4, Place 2",0357,837,575,1412,3517,40.15%,1088,1088
"Justice of the Peace, Precinct 4, Place 2",0358,212,254,466,2492,18.70%,95,95
"Justice of the Peace, Precinct 4, Place 2",0363,620,412,1032,3677,28.07%,534,534
"Justice of the Peace, Precinct 4, Place 2",0370,1532,1105,2637,6593,40.00%,2069,2069
"Justice of the Peace, Precinct 4, Place 2",0388,1430,1010,2440,6888,35.42%,1538,1538
"Justice of the Peace, Precinct 4, Place 2",0399,402,366,768,2791,27.52%,481,481
"Justice of the Peace, Precinct 4, Place 2",0405,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0410,132,80,212,899,23.58%,49,49
"Justice of the Peace, Precinct 4, Place 2",0442,612,574,1186,2575,46.06%,996,996
"Justice of the Peace, Precinct 4, Place 2",0449,12,23,35,198,17.68%,4,4
"Justice of the Peace, Precinct 4, Place 2",0451,1002,510,1512,2687,56.27%,1268,1268
"Justice of the Peace, Precinct 4, Place 2",0452,554,444,998,3048,32.74%,778,778
"Justice of the Peace, Precinct 4, Place 2",0457,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0459,951,474,1425,3021,47.17%,1173,1173
"Justice of the Peace, Precinct 4, Place 2",0464,356,430,786,2257,34.82%,598,598
"Justice of the Peace, Precinct 4, Place 2",0465,687,520,1207,3564,33.87%,772,772
"Justice of the Peace, Precinct 4, Place 2",0466,1058,614,1672,4184,39.96%,1048,1048
"Justice of the Peace, Precinct 4, Place 2",0468,352,443,795,3598,22.10%,303,303
"Justice of the Peace, Precinct 4, Place 2",0469,1,1294,547,1841,3985,46.20%,1494,1494
