Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0001,417,466,883,2358,37.45%,298,528,826
"District Judge, 269th Judicial District",0002,333,313,646,1961,32.94%,272,331,603
"District Judge, 269th Judicial District",0003,326,405,731,1560,46.86%,254,397,651
"District Judge, 269th Judicial District",0004,369,487,856,1668,51.32%,313,467,780
"District Judge, 269th Judicial District",0005,279,448,727,1417,51.31%,256,407,663
"District Judge, 269th Judicial District",0006,656,456,1112,3702,30.04%,639,432,1071
"District Judge, 269th Judicial District",0007,209,110,319,1017,31.37%,14,292,306
"District Judge, 269th Judicial District",0008,393,310,703,1744,40.31%,356,317,673
"District Judge, 269th Judicial District",0009,206,223,429,1874,22.89%,114,285,399
"District Judge, 269th Judicial District",0010,255,171,426,1753,24.30%,123,274,397
"District Judge, 269th Judicial District",0011,184,176,360,1785,20.17%,70,261,331
"District Judge, 269th Judicial District",0012,86,66,152,735,20.68%,87,61,148
"District Judge, 269th Judicial District",0013,548,361,909,2689,33.80%,658,210,868
"District Judge, 269th Judicial District",0014,442,495,937,1870,50.11%,498,378,876
"District Judge, 269th Judicial District",0015,597,898,1495,2878,51.95%,888,480,1368
"District Judge, 269th Judicial District",0016,239,137,376,1071,35.11%,173,182,355
"District Judge, 269th Judicial District",0017,185,215,400,1162,34.42%,173,197,370
"District Judge, 269th Judicial District",0018,371,351,722,1443,50.03%,343,328,671
"District Judge, 269th Judicial District",0019,170,207,377,1170,32.22%,121,233,354
"District Judge, 269th Judicial District",0020,311,287,598,2646,22.60%,179,392,571
"District Judge, 269th Judicial District",0021,176,184,360,1122,32.09%,75,264,339
"District Judge, 269th Judicial District",0022,397,322,719,2473,29.07%,137,556,693
"District Judge, 269th Judicial District",0023,31,22,53,541,9.80%,9,43,52
"District Judge, 269th Judicial District",0024,106,88,194,655,29.62%,17,170,187
"District Judge, 269th Judicial District",0025,104,143,247,1086,22.74%,11,230,241
"District Judge, 269th Judicial District",0026,239,277,516,1845,27.97%,138,329,467
"District Judge, 269th Judicial District",0027,463,427,890,3074,28.95%,220,617,837
"District Judge, 269th Judicial District",0028,636,405,1041,3029,34.37%,668,319,987
"District Judge, 269th Judicial District",0029,194,237,431,2638,16.34%,167,241,408
"District Judge, 269th Judicial District",0030,368,391,759,2403,31.59%,199,531,730
"District Judge, 269th Judicial District",0031,453,280,733,2511,29.19%,16,695,711
"District Judge, 269th Judicial District",0032,318,405,723,2398,30.15%,286,387,673
"District Judge, 269th Judicial District",0033,707,615,1322,3706,35.67%,440,792,1232
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0034,625,579,1204,2786,43.22%,293,850,1143
"District Judge, 269th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 269th Judicial District",0036,416,318,734,2927,25.08%,201,489,690
"District Judge, 269th Judicial District",0037,542,436,978,2106,46.44%,293,623,916
"District Judge, 269th Judicial District",0038,784,589,1373,2875,47.76%,472,805,1277
"District Judge, 269th Judicial District",0039,657,575,1232,2759,44.65%,316,839,1155
"District Judge, 269th Judicial District",0040,136,152,288,541,53.23%,144,119,263
"District Judge, 269th Judicial District",0041,176,230,406,1334,30.43%,164,228,392
"District Judge, 269th Judicial District",0042,228,109,337,1071,31.47%,6,321,327
"District Judge, 269th Judicial District",0043,293,210,503,1695,29.68%,276,203,479
"District Judge, 269th Judicial District",0044,204,222,426,2001,21.29%,97,301,398
"District Judge, 269th Judicial District",0045,894,750,1644,6698,24.54%,319,1277,1596
"District Judge, 269th Judicial District",0046,290,247,537,2511,21.39%,92,413,505
"District Judge, 269th Judicial District",0047,213,218,431,1627,26.49%,15,406,421
"District Judge, 269th Judicial District",0048,157,142,299,940,31.81%,26,266,292
"District Judge, 269th Judicial District",0049,584,482,1066,3343,31.89%,778,254,1032
"District Judge, 269th Judicial District",0050,785,771,1556,5211,29.86%,850,654,1504
"District Judge, 269th Judicial District",0051,353,243,596,1689,35.29%,443,133,576
"District Judge, 269th Judicial District",0052,422,447,869,2457,35.37%,407,408,815
"District Judge, 269th Judicial District",0053,564,726,1290,2971,43.42%,533,660,1193
"District Judge, 269th Judicial District",0054,269,364,633,1487,42.57%,329,265,594
"District Judge, 269th Judicial District",0055,191,251,442,1506,29.35%,194,218,412
"District Judge, 269th Judicial District",0056,282,278,560,1326,42.23%,381,152,533
"District Judge, 269th Judicial District",0057,710,831,1541,3153,48.87%,616,798,1414
"District Judge, 269th Judicial District",0058,469,556,1025,2690,38.10%,442,528,970
"District Judge, 269th Judicial District",0059,555,609,1164,2544,45.75%,459,625,1084
"District Judge, 269th Judicial District",0060,498,564,1062,2453,43.29%,267,720,987
"District Judge, 269th Judicial District",0061,172,204,376,1773,21.21%,154,196,350
"District Judge, 269th Judicial District",0062,145,322,467,2181,21.41%,119,325,444
"District Judge, 269th Judicial District",0063,264,354,618,1826,33.84%,498,101,599
"District Judge, 269th Judicial District",0064,191,221,412,2141,19.24%,88,299,387
"District Judge, 269th Judicial District",0065,172,230,402,2167,18.55%,98,282,380
"District Judge, 269th Judicial District",0066,69,143,212,1098,19.31%,35,164,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0067,304,282,586,2794,20.97%,163,380,543
"District Judge, 269th Judicial District",0068,553,352,905,2924,30.95%,20,863,883
"District Judge, 269th Judicial District",0069,80,124,204,1284,15.89%,46,144,190
"District Judge, 269th Judicial District",0070,882,664,1546,3337,46.33%,906,511,1417
"District Judge, 269th Judicial District",0071,602,722,1324,4197,31.55%,649,598,1247
"District Judge, 269th Judicial District",0072,220,293,513,1924,26.66%,156,332,488
"District Judge, 269th Judicial District",0073,252,414,666,1555,42.83%,378,226,604
"District Judge, 269th Judicial District",0074,1153,782,1935,3583,54.01%,1515,337,1852
"District Judge, 269th Judicial District",0075,254,280,534,1444,36.98%,205,297,502
"District Judge, 269th Judicial District",0076,373,374,747,2362,31.63%,438,278,716
"District Judge, 269th Judicial District",0077,43,46,89,566,15.72%,20,66,86
"District Judge, 269th Judicial District",0078,180,201,381,1522,25.03%,134,227,361
"District Judge, 269th Judicial District",0079,205,306,511,2927,17.46%,126,342,468
"District Judge, 269th Judicial District",0080,501,351,852,2725,31.27%,211,603,814
"District Judge, 269th Judicial District",0081,183,187,370,1835,20.16%,139,208,347
"District Judge, 269th Judicial District",0082,639,671,1310,3368,38.90%,993,278,1271
"District Judge, 269th Judicial District",0083,1296,888,2184,6625,32.97%,1074,1033,2107
"District Judge, 269th Judicial District",0084,208,218,426,1373,31.03%,309,101,410
"District Judge, 269th Judicial District",0085,271,248,519,2173,23.88%,22,485,507
"District Judge, 269th Judicial District",0086,447,568,1015,2910,34.88%,459,496,955
"District Judge, 269th Judicial District",0087,574,787,1461,2818,51.85%,930,424,1354
"District Judge, 269th Judicial District",0088,123,118,241,693,34.78%,155,74,229
"District Judge, 269th Judicial District",0089,165,371,536,1094,48.99%,297,191,488
"District Judge, 269th Judicial District",0090,844,790,1634,3700,44.16%,1199,364,1563
"District Judge, 269th Judicial District",0091,219,222,441,1505,29.30%,266,157,423
"District Judge, 269th Judicial District",0092,695,462,1157,2242,51.61%,774,304,1078
"District Judge, 269th Judicial District",0093,381,301,682,3356,20.32%,272,371,643
"District Judge, 269th Judicial District",0094,51,43,94,549,17.12%,27,64,91
"District Judge, 269th Judicial District",0095,917,576,1493,3177,46.99%,1097,326,1423
"District Judge, 269th Judicial District",0096,83,83,166,1296,12.81%,23,140,163
"District Judge, 269th Judicial District",0097,1024,725,1749,4828,36.23%,1295,391,1686
"District Judge, 269th Judicial District",0098,403,488,891,2651,33.61%,738,123,861
"District Judge, 269th Judicial District",0099,254,184,438,2092,20.94%,211,211,422
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0100,155,173,338,1730,19.54%,182,150,332
"District Judge, 269th Judicial District",0101,72,58,130,946,13.74%,47,80,127
"District Judge, 269th Judicial District",0102,207,121,328,1872,17.52%,88,227,315
"District Judge, 269th Judicial District",0103,700,714,1414,5371,26.33%,799,572,1371
"District Judge, 269th Judicial District",0104,530,231,761,1905,39.95%,18,731,749
"District Judge, 269th Judicial District",0105,195,210,406,2165,18.75%,132,243,375
"District Judge, 269th Judicial District",0106,15,7,25,294,8.50%,16,9,25
"District Judge, 269th Judicial District",0107,154,197,351,2032,17.27%,56,277,333
"District Judge, 269th Judicial District",0108,558,272,940,3365,27.93%,563,339,902
"District Judge, 269th Judicial District",0109,529,245,774,2824,27.41%,5,753,758
"District Judge, 269th Judicial District",0110,554,494,1148,3042,37.74%,747,364,1111
"District Judge, 269th Judicial District",0111,815,795,1611,4102,39.27%,1185,357,1542
"District Judge, 269th Judicial District",0112,542,485,1027,2976,34.51%,762,227,989
"District Judge, 269th Judicial District",0113,552,429,991,2647,37.44%,611,333,944
"District Judge, 269th Judicial District",0114,707,547,1254,3311,37.87%,1013,210,1223
"District Judge, 269th Judicial District",0115,238,150,388,1800,21.56%,52,325,377
"District Judge, 269th Judicial District",0116,982,776,1758,3147,55.86%,1357,294,1651
"District Judge, 269th Judicial District",0117,215,226,441,1880,23.46%,218,201,419
