Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wesley Ward,DEM Barbara Gardner,Totals
"District Judge, 234th Judicial District",0001,417,466,883,2358,37.45%,284,542,826
"District Judge, 234th Judicial District",0002,333,313,646,1961,32.94%,262,339,601
"District Judge, 234th Judicial District",0003,326,405,731,1560,46.86%,252,408,660
"District Judge, 234th Judicial District",0004,369,487,856,1668,51.32%,304,483,787
"District Judge, 234th Judicial District",0005,279,448,727,1417,51.31%,259,403,662
"District Judge, 234th Judicial District",0006,656,456,1112,3702,30.04%,633,445,1078
"District Judge, 234th Judicial District",0007,209,110,319,1017,31.37%,11,297,308
"District Judge, 234th Judicial District",0008,393,310,703,1744,40.31%,351,321,672
"District Judge, 234th Judicial District",0009,206,223,429,1874,22.89%,114,287,401
"District Judge, 234th Judicial District",0010,255,171,426,1753,24.30%,119,279,398
"District Judge, 234th Judicial District",0011,184,176,360,1785,20.17%,67,264,331
"District Judge, 234th Judicial District",0012,86,66,152,735,20.68%,86,61,147
"District Judge, 234th Judicial District",0013,548,361,909,2689,33.80%,659,211,870
"District Judge, 234th Judicial District",0014,442,495,937,1870,50.11%,492,391,883
"District Judge, 234th Judicial District",0015,597,898,1495,2878,51.95%,883,504,1387
"District Judge, 234th Judicial District",0016,239,137,376,1071,35.11%,167,185,352
"District Judge, 234th Judicial District",0017,185,215,400,1162,34.42%,175,199,374
"District Judge, 234th Judicial District",0018,371,351,722,1443,50.03%,339,337,676
"District Judge, 234th Judicial District",0019,170,207,377,1170,32.22%,118,232,350
"District Judge, 234th Judicial District",0020,311,287,598,2646,22.60%,176,399,575
"District Judge, 234th Judicial District",0021,176,184,360,1122,32.09%,72,269,341
"District Judge, 234th Judicial District",0022,397,322,719,2473,29.07%,134,563,697
"District Judge, 234th Judicial District",0023,31,22,53,541,9.80%,8,43,51
"District Judge, 234th Judicial District",0024,106,88,194,655,29.62%,13,174,187
"District Judge, 234th Judicial District",0025,104,143,247,1086,22.74%,11,231,242
"District Judge, 234th Judicial District",0026,239,277,516,1845,27.97%,131,340,471
"District Judge, 234th Judicial District",0027,463,427,890,3074,28.95%,220,621,841
"District Judge, 234th Judicial District",0028,636,405,1041,3029,34.37%,671,317,988
"District Judge, 234th Judicial District",0029,194,237,431,2638,16.34%,163,244,407
"District Judge, 234th Judicial District",0030,368,391,759,2403,31.59%,196,535,731
"District Judge, 234th Judicial District",0031,453,280,733,2511,29.19%,20,691,711
"District Judge, 234th Judicial District",0032,318,405,723,2398,30.15%,284,393,677
"District Judge, 234th Judicial District",0033,707,615,1322,3706,35.67%,409,832,1241
"District Judge, 234th Judicial District",0034,625,579,1204,2786,43.22%,286,854,1140
"District Judge, 234th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 234th Judicial District",0036,416,318,734,2927,25.08%,193,503,696
"District Judge, 234th Judicial District",0037,542,436,978,2106,46.44%,274,636,910
"District Judge, 234th Judicial District",0038,784,589,1373,2875,47.76%,466,819,1285
"District Judge, 234th Judicial District",0039,657,575,1232,2759,44.65%,315,847,1162
"District Judge, 234th Judicial District",0040,136,152,288,541,53.23%,142,118,260
"District Judge, 234th Judicial District",0041,176,230,406,1334,30.43%,163,230,393
"District Judge, 234th Judicial District",0042,228,109,337,1071,31.47%,6,322,328
"District Judge, 234th Judicial District",0043,293,210,503,1695,29.68%,276,208,484
"District Judge, 234th Judicial District",0044,204,222,426,2001,21.29%,96,303,399
"District Judge, 234th Judicial District",0045,894,750,1644,6698,24.54%,312,1283,1595
"District Judge, 234th Judicial District",0046,290,247,537,2511,21.39%,98,412,510
"District Judge, 234th Judicial District",0047,213,218,431,1627,26.49%,14,408,422
"District Judge, 234th Judicial District",0048,157,142,299,940,31.81%,27,267,294
"District Judge, 234th Judicial District",0049,584,482,1066,3343,31.89%,780,253,1033
"District Judge, 234th Judicial District",0050,785,771,1556,5211,29.86%,841,666,1507
"District Judge, 234th Judicial District",0051,353,243,596,1689,35.29%,440,133,573
"District Judge, 234th Judicial District",0052,422,447,869,2457,35.37%,400,412,812
"District Judge, 234th Judicial District",0053,564,726,1290,2971,43.42%,523,678,1201
"District Judge, 234th Judicial District",0054,269,364,633,1487,42.57%,322,272,594
"District Judge, 234th Judicial District",0055,191,251,442,1506,29.35%,194,220,414
