Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0001,417,466,883,2358,37.45%,272,550,822
"District Judge, 247th Judicial District",0002,333,313,646,1961,32.94%,258,341,599
"District Judge, 247th Judicial District",0003,326,405,731,1560,46.86%,225,428,653
"District Judge, 247th Judicial District",0004,369,487,856,1668,51.32%,270,512,782
"District Judge, 247th Judicial District",0005,279,448,727,1417,51.31%,234,431,665
"District Judge, 247th Judicial District",0006,656,456,1112,3702,30.04%,638,435,1073
"District Judge, 247th Judicial District",0007,209,110,319,1017,31.37%,15,290,305
"District Judge, 247th Judicial District",0008,393,310,703,1744,40.31%,346,325,671
"District Judge, 247th Judicial District",0009,206,223,429,1874,22.89%,114,282,396
"District Judge, 247th Judicial District",0010,255,171,426,1753,24.30%,119,277,396
"District Judge, 247th Judicial District",0011,184,176,360,1785,20.17%,73,262,335
"District Judge, 247th Judicial District",0012,86,66,152,735,20.68%,88,61,149
"District Judge, 247th Judicial District",0013,548,361,909,2689,33.80%,646,220,866
"District Judge, 247th Judicial District",0014,442,495,937,1870,50.11%,471,409,880
"District Judge, 247th Judicial District",0015,597,898,1495,2878,51.95%,766,597,1363
"District Judge, 247th Judicial District",0016,239,137,376,1071,35.11%,167,188,355
"District Judge, 247th Judicial District",0017,185,215,400,1162,34.42%,170,201,371
"District Judge, 247th Judicial District",0018,371,351,722,1443,50.03%,302,368,670
"District Judge, 247th Judicial District",0019,170,207,377,1170,32.22%,113,240,353
"District Judge, 247th Judicial District",0020,311,287,598,2646,22.60%,163,406,569
"District Judge, 247th Judicial District",0021,176,184,360,1122,32.09%,69,271,340
"District Judge, 247th Judicial District",0022,397,322,719,2473,29.07%,133,564,697
"District Judge, 247th Judicial District",0023,31,22,53,541,9.80%,9,43,52
"District Judge, 247th Judicial District",0024,106,88,194,655,29.62%,16,170,186
"District Judge, 247th Judicial District",0025,104,143,247,1086,22.74%,11,230,241
"District Judge, 247th Judicial District",0026,239,277,516,1845,27.97%,127,339,466
"District Judge, 247th Judicial District",0027,463,427,890,3074,28.95%,211,627,838
"District Judge, 247th Judicial District",0028,636,405,1041,3029,34.37%,660,327,987
"District Judge, 247th Judicial District",0029,194,237,431,2638,16.34%,170,235,405
"District Judge, 247th Judicial District",0030,368,391,759,2403,31.59%,185,542,727
"District Judge, 247th Judicial District",0031,453,280,733,2511,29.19%,20,689,709
"District Judge, 247th Judicial District",0032,318,405,723,2398,30.15%,275,400,675
"District Judge, 247th Judicial District",0033,707,615,1322,3706,35.67%,393,843,1236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0034,625,579,1204,2786,43.22%,259,881,1140
"District Judge, 247th Judicial District",0035,4,0,4,11,36.36%,1,3,4
"District Judge, 247th Judicial District",0036,416,318,734,2927,25.08%,202,484,686
"District Judge, 247th Judicial District",0037,542,436,978,2106,46.44%,263,652,915
"District Judge, 247th Judicial District",0038,784,589,1373,2875,47.76%,414,858,1272
"District Judge, 247th Judicial District",0039,657,575,1232,2759,44.65%,275,873,1148
"District Judge, 247th Judicial District",0040,136,152,288,541,53.23%,113,157,270
"District Judge, 247th Judicial District",0041,176,230,406,1334,30.43%,164,230,394
"District Judge, 247th Judicial District",0042,228,109,337,1071,31.47%,5,323,328
"District Judge, 247th Judicial District",0043,293,210,503,1695,29.68%,267,212,479
"District Judge, 247th Judicial District",0044,204,222,426,2001,21.29%,99,298,397
"District Judge, 247th Judicial District",0045,894,750,1644,6698,24.54%,318,1277,1595
"District Judge, 247th Judicial District",0046,290,247,537,2511,21.39%,90,415,505
"District Judge, 247th Judicial District",0047,213,218,431,1627,26.49%,16,406,422
"District Judge, 247th Judicial District",0048,157,142,299,940,31.81%,26,267,293
"District Judge, 247th Judicial District",0049,584,482,1066,3343,31.89%,777,256,1033
"District Judge, 247th Judicial District",0050,785,771,1556,5211,29.86%,839,666,1505
"District Judge, 247th Judicial District",0051,353,243,596,1689,35.29%,445,131,576
"District Judge, 247th Judicial District",0052,422,447,869,2457,35.37%,385,429,814
"District Judge, 247th Judicial District",0053,564,726,1290,2971,43.42%,476,722,1198
"District Judge, 247th Judicial District",0054,269,364,633,1487,42.57%,308,281,589
"District Judge, 247th Judicial District",0055,191,251,442,1506,29.35%,188,223,411
"District Judge, 247th Judicial District",0056,282,278,560,1326,42.23%,362,169,531
"District Judge, 247th Judicial District",0057,710,831,1541,3153,48.87%,548,866,1414
"District Judge, 247th Judicial District",0058,469,556,1025,2690,38.10%,416,553,969
"District Judge, 247th Judicial District",0059,555,609,1164,2544,45.75%,428,657,1085
"District Judge, 247th Judicial District",0060,498,564,1062,2453,43.29%,242,751,993
"District Judge, 247th Judicial District",0061,172,204,376,1773,21.21%,146,204,350
"District Judge, 247th Judicial District",0062,145,322,467,2181,21.41%,122,321,443
"District Judge, 247th Judicial District",0063,264,354,618,1826,33.84%,494,106,600
"District Judge, 247th Judicial District",0064,191,221,412,2141,19.24%,83,301,384
"District Judge, 247th Judicial District",0065,172,230,402,2167,18.55%,100,279,379
"District Judge, 247th Judicial District",0066,69,143,212,1098,19.31%,36,164,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0067,304,282,586,2794,20.97%,163,384,547
"District Judge, 247th Judicial District",0068,553,352,905,2924,30.95%,20,859,879
"District Judge, 247th Judicial District",0069,80,124,204,1284,15.89%,44,143,187
"District Judge, 247th Judicial District",0070,882,664,1546,3337,46.33%,827,588,1415
"District Judge, 247th Judicial District",0071,602,722,1324,4197,31.55%,622,628,1250
"District Judge, 247th Judicial District",0072,220,293,513,1924,26.66%,164,322,486
"District Judge, 247th Judicial District",0073,252,414,666,1555,42.83%,354,253,607
"District Judge, 247th Judicial District",0074,1153,782,1935,3583,54.01%,1484,368,1852
"District Judge, 247th Judicial District",0075,254,280,534,1444,36.98%,201,303,504
"District Judge, 247th Judicial District",0076,373,374,747,2362,31.63%,432,280,712
"District Judge, 247th Judicial District",0077,43,46,89,566,15.72%,21,66,87
"District Judge, 247th Judicial District",0078,180,201,381,1522,25.03%,133,231,364
"District Judge, 247th Judicial District",0079,205,306,511,2927,17.46%,135,332,467
"District Judge, 247th Judicial District",0080,501,351,852,2725,31.27%,214,598,812
"District Judge, 247th Judicial District",0081,183,187,370,1835,20.16%,151,197,348
"District Judge, 247th Judicial District",0082,639,671,1310,3368,38.90%,983,291,1274
"District Judge, 247th Judicial District",0083,1296,888,2184,6625,32.97%,1059,1051,2110
"District Judge, 247th Judicial District",0084,208,218,426,1373,31.03%,305,105,410
"District Judge, 247th Judicial District",0085,271,248,519,2173,23.88%,21,487,508
"District Judge, 247th Judicial District",0086,447,568,1015,2910,34.88%,442,516,958
"District Judge, 247th Judicial District",0087,574,787,1461,2818,51.85%,825,528,1353
"District Judge, 247th Judicial District",0088,123,118,241,693,34.78%,153,75,228
"District Judge, 247th Judicial District",0089,165,371,536,1094,48.99%,262,225,487
"District Judge, 247th Judicial District",0090,844,790,1634,3700,44.16%,1168,403,1571
"District Judge, 247th Judicial District",0091,219,222,441,1505,29.30%,266,159,425
"District Judge, 247th Judicial District",0092,695,462,1157,2242,51.61%,756,331,1087
"District Judge, 247th Judicial District",0093,381,301,682,3356,20.32%,275,370,645
"District Judge, 247th Judicial District",0094,51,43,94,549,17.12%,28,62,90
"District Judge, 247th Judicial District",0095,917,576,1493,3177,46.99%,1046,374,1420
"District Judge, 247th Judicial District",0096,83,83,166,1296,12.81%,22,142,164
"District Judge, 247th Judicial District",0097,1024,725,1749,4828,36.23%,1292,399,1691
"District Judge, 247th Judicial District",0098,403,488,891,2651,33.61%,733,129,862
"District Judge, 247th Judicial District",0099,254,184,438,2092,20.94%,213,211,424
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0100,155,173,338,1730,19.54%,183,148,331
"District Judge, 247th Judicial District",0101,72,58,130,946,13.74%,46,81,127
"District Judge, 247th Judicial District",0102,207,121,328,1872,17.52%,92,224,316
"District Judge, 247th Judicial District",0103,700,714,1414,5371,26.33%,798,575,1373
"District Judge, 247th Judicial District",0104,530,231,761,1905,39.95%,20,730,750
"District Judge, 247th Judicial District",0105,195,210,406,2165,18.75%,134,241,375
"District Judge, 247th Judicial District",0106,15,7,25,294,8.50%,16,9,25
"District Judge, 247th Judicial District",0107,154,197,351,2032,17.27%,58,278,336
"District Judge, 247th Judicial District",0108,558,272,940,3365,27.93%,560,344,904
"District Judge, 247th Judicial District",0109,529,245,774,2824,27.41%,10,748,758
"District Judge, 247th Judicial District",0110,554,494,1148,3042,37.74%,741,368,1109
"District Judge, 247th Judicial District",0111,815,795,1611,4102,39.27%,1178,365,1543
"District Judge, 247th Judicial District",0112,542,485,1027,2976,34.51%,753,239,992
"District Judge, 247th Judicial District",0113,552,429,991,2647,37.44%,589,353,942
"District Judge, 247th Judicial District",0114,707,547,1254,3311,37.87%,1009,215,1224
"District Judge, 247th Judicial District",0115,238,150,388,1800,21.56%,51,328,379
"District Judge, 247th Judicial District",0116,982,776,1758,3147,55.86%,1286,360,1646
"District Judge, 247th Judicial District",0117,215,226,441,1880,23.46%,213,206,419
"District Judge, 247th Judicial District",0118,304,123,427,759,56.26%,347,65,412
"District Judge, 247th Judicial District",0119,1288,1024,2312,5500,42.04%,1854,367,2221
"District Judge, 247th Judicial District",0120,712,422,1134,3191,35.54%,731,349,1080
"District Judge, 247th Judicial District",0121,92,178,270,848,31.84%,190,69,259
"District Judge, 247th Judicial District",0122,352,225,577,1890,30.53%,22,540,562
"District Judge, 247th Judicial District",0123,284,288,572,1392,41.09%,134,402,536
"District Judge, 247th Judicial District",0124,1734,1292,3026,7254,41.71%,2384,558,2942
"District Judge, 247th Judicial District",0125,415,332,747,2405,31.06%,457,264,721
"District Judge, 247th Judicial District",0126,893,467,1360,3100,43.87%,1198,125,1323
"District Judge, 247th Judicial District",0127,435,154,589,1836,32.08%,413,145,558
"District Judge, 247th Judicial District",0128,445,707,1152,2290,50.31%,651,398,1049
"District Judge, 247th Judicial District",0129,1030,1200,2230,5746,38.81%,1331,777,2108
"District Judge, 247th Judicial District",0130,727,523,1250,2333,53.58%,893,291,1184
"District Judge, 247th Judicial District",0131,251,259,510,1935,26.36%,119,367,485
"District Judge, 247th Judicial District",0132,593,323,916,2387,38.37%,19,878,897
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0133,513,858,1371,2662,51.50%,728,528,1256
"District Judge, 247th Judicial District",0134,192,265,457,1437,31.80%,207,230,437
"District Judge, 247th Judicial District",0135,727,579,1305,2671,48.90%,832,398,1230
"District Judge, 247th Judicial District",0136,503,371,874,2013,43.42%,34,811,845
"District Judge, 247th Judicial District",0137,166,141,307,716,42.88%,137,144,281
"District Judge, 247th Judicial District",0138,296,199,495,1699,29.13%,16,469,485
"District Judge, 247th Judicial District",0139,699,551,1250,3037,41.16%,506,667,1173
"District Judge, 247th Judicial District",0140,699,480,1179,3214,36.68%,129,1004,1133
"District Judge, 247th Judicial District",0141,80,80,160,855,18.71%,94,57,151
"District Judge, 247th Judicial District",0142,87,103,190,902,21.06%,65,115,180
"District Judge, 247th Judicial District",0143,1962,580,2542,6386,39.81%,1826,655,2481
"District Judge, 247th Judicial District",0144,216,158,374,1093,34.22%,8,357,365
"District Judge, 247th Judicial District",0145,264,213,477,1538,31.01%,10,455,465
"District Judge, 247th Judicial District",0146,426,519,945,2008,47.06%,400,491,891
"District Judge, 247th Judicial District",0147,589,329,1018,3008,33.84%,129,864,993
"District Judge, 247th Judicial District",0148,500,780,1280,2540,50.39%,440,733,1173
"District Judge, 247th Judicial District",0149,1621,737,2358,7993,29.50%,1233,1067,2300
"District Judge, 247th Judicial District",0150,236,169,405,1256,32.25%,10,389,399
"District Judge, 247th Judicial District",0151,137,79,216,826,26.15%,9,198,207
"District Judge, 247th Judicial District",0152,213,299,512,2788,18.36%,137,352,489
"District Judge, 247th Judicial District",0153,125,206,331,1808,18.31%,105,210,315
"District Judge, 247th Judicial District",0154,249,183,432,2190,19.73%,117,292,409
"District Judge, 247th Judicial District",0155,1022,619,1641,4109,39.94%,1132,447,1579
"District Judge, 247th Judicial District",0156,799,326,1125,3071,36.63%,39,1057,1096
"District Judge, 247th Judicial District",0157,448,214,662,2236,29.61%,26,617,643
"District Judge, 247th Judicial District",0158,600,315,915,3035,30.15%,23,876,899
"District Judge, 247th Judicial District",0159,116,127,243,998,24.35%,39,197,236
"District Judge, 247th Judicial District",0160,122,73,195,696,28.02%,6,187,193
"District Judge, 247th Judicial District",0161,163,141,304,991,30.68%,3,295,298
"District Judge, 247th Judicial District",0162,101,83,184,1265,14.55%,68,102,170
"District Judge, 247th Judicial District",0163,230,320,550,3037,18.11%,230,289,519
"District Judge, 247th Judicial District",0164,182,205,387,1420,27.25%,10,368,378
"District Judge, 247th Judicial District",0165,535,483,1018,2334,43.62%,655,307,962
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0166,158,233,391,1028,38.04%,110,257,367
"District Judge, 247th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 247th Judicial District",0168,92,58,150,503,29.82%,3,143,146
"District Judge, 247th Judicial District",0169,518,251,767,2513,30.52%,12,735,747
"District Judge, 247th Judicial District",0170,271,141,412,1869,22.04%,212,179,391
"District Judge, 247th Judicial District",0171,202,198,400,1604,24.94%,9,382,391
"District Judge, 247th Judicial District",0172,88,80,166,621,26.73%,62,91,153
"District Judge, 247th Judicial District",0173,817,739,1556,3599,43.23%,1244,257,1501
"District Judge, 247th Judicial District",0174,829,733,1562,3296,47.39%,1048,429,1477
"District Judge, 247th Judicial District",0175,557,749,1306,2618,49.89%,609,592,1201
"District Judge, 247th Judicial District",0176,344,451,795,1602,49.63%,384,338,722
"District Judge, 247th Judicial District",0177,278,326,604,1496,40.37%,311,249,560
"District Judge, 247th Judicial District",0178,504,365,869,1765,49.24%,541,261,802
"District Judge, 247th Judicial District",0179,256,188,444,1575,28.19%,235,185,420
"District Judge, 247th Judicial District",0180,470,343,813,2834,28.69%,19,754,773
"District Judge, 247th Judicial District",0181,175,262,437,2061,21.20%,140,276,416
"District Judge, 247th Judicial District",0182,590,974,1564,3405,45.93%,886,536,1422
"District Judge, 247th Judicial District",0183,519,794,1313,2491,52.71%,759,456,1215
"District Judge, 247th Judicial District",0184,106,135,241,994,24.25%,84,138,222
"District Judge, 247th Judicial District",0185,283,292,575,1933,29.75%,205,341,546
"District Judge, 247th Judicial District",0186,97,106,203,798,25.44%,32,164,196
"District Judge, 247th Judicial District",0187,21,25,46,311,14.79%,14,29,43
"District Judge, 247th Judicial District",0188,153,146,299,1637,18.27%,140,146,286
"District Judge, 247th Judicial District",0189,239,360,599,1465,40.89%,309,241,550
"District Judge, 247th Judicial District",0190,120,177,297,1723,17.24%,123,161,284
"District Judge, 247th Judicial District",0191,79,126,205,1366,15.01%,90,108,198
"District Judge, 247th Judicial District",0192,380,225,605,1959,30.88%,26,562,588
"District Judge, 247th Judicial District",0193,173,187,360,1074,33.52%,8,336,344
"District Judge, 247th Judicial District",0194,350,431,781,1912,40.85%,223,518,741
"District Judge, 247th Judicial District",0195,269,278,547,1694,32.29%,19,512,531
"District Judge, 247th Judicial District",0196,52,32,84,316,26.58%,6,76,82
"District Judge, 247th Judicial District",0197,543,309,852,2914,29.24%,11,826,837
"District Judge, 247th Judicial District",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0199,812,661,1473,3216,45.80%,1125,284,1409
"District Judge, 247th Judicial District",0200,982,536,1498,3382,44.29%,639,748,1387
"District Judge, 247th Judicial District",0201,98,87,185,724,25.55%,1,180,181
"District Judge, 247th Judicial District",0202,217,189,406,1464,27.73%,11,389,400
"District Judge, 247th Judicial District",0203,107,68,175,960,18.23%,40,125,165
"District Judge, 247th Judicial District",0204,818,784,1600,3487,45.88%,858,624,1482
"District Judge, 247th Judicial District",0205,484,171,635,1664,38.16%,10,611,621
"District Judge, 247th Judicial District",0206,382,462,824,2779,29.65%,231,547,778
"District Judge, 247th Judicial District",0207,285,261,528,1188,44.28%,155,340,495
"District Judge, 247th Judicial District",0208,322,262,584,2195,26.61%,174,384,558
"District Judge, 247th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 247th Judicial District",0210,502,467,969,2533,38.26%,102,839,941
"District Judge, 247th Judicial District",0211,307,386,693,2914,23.78%,262,394,656
"District Judge, 247th Judicial District",0212,98,155,251,1300,19.31%,55,187,242
"District Judge, 247th Judicial District",0213,828,913,1739,3350,51.91%,1284,324,1808
"District Judge, 247th Judicial District",0214,404,491,895,1854,48.27%,524,318,842
"District Judge, 247th Judicial District",0215,421,711,1132,2258,50.13%,627,417,1044
"District Judge, 247th Judicial District",0216,382,223,585,1945,30.08%,38,534,572
"District Judge, 247th Judicial District",0217,844,631,1475,2678,55.08%,850,502,1352
"District Judge, 247th Judicial District",0218,391,402,793,2292,34.60%,227,503,730
"District Judge, 247th Judicial District",0219,498,436,932,2767,33.68%,42,854,898
"District Judge, 247th Judicial District",0220,325,187,512,2310,22.16%,371,126,497
"District Judge, 247th Judicial District",0221,332,369,701,2529,27.72%,299,360,659
"District Judge, 247th Judicial District",0222,823,674,1297,2501,51.86%,514,675,1189
"District Judge, 247th Judicial District",0223,583,377,940,3582,26.24%,252,628,880
"District Judge, 247th Judicial District",0224,530,456,986,2238,44.06%,425,486,911
"District Judge, 247th Judicial District",0225,378,405,781,3305,23.63%,388,361,749
"District Judge, 247th Judicial District",0226,227,307,534,2436,21.92%,129,374,503
"District Judge, 247th Judicial District",0227,558,423,981,1785,54.96%,641,256,897
"District Judge, 247th Judicial District",0228,382,195,557,1050,53.05%,23,512,535
"District Judge, 247th Judicial District",0229,31,96,127,815,15.58%,58,60,118
"District Judge, 247th Judicial District",0230,185,116,301,1089,27.64%,6,288,294
"District Judge, 247th Judicial District",0231,233,264,497,2232,22.27%,120,345,465
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0232,351,474,835,1760,47.44%,419,351,770
"District Judge, 247th Judicial District",0233,890,801,1691,4445,38.04%,743,818,1561
"District Judge, 247th Judicial District",0234,1192,913,2105,3993,52.72%,1482,466,1948
"District Judge, 247th Judicial District",0235,240,158,398,1356,29.35%,12,375,387
"District Judge, 247th Judicial District",0236,354,235,589,2079,28.33%,13,562,575
"District Judge, 247th Judicial District",0237,415,253,669,2161,30.96%,11,645,656
"District Judge, 247th Judicial District",0238,339,245,584,1925,30.34%,15,554,569
"District Judge, 247th Judicial District",0239,383,236,619,1964,31.52%,19,591,610
"District Judge, 247th Judicial District",0240,585,243,828,2649,31.26%,23,787,810
"District Judge, 247th Judicial District",0241,222,229,451,2372,19.01%,185,246,431
"District Judge, 247th Judicial District",0242,173,162,335,1596,20.99%,194,125,319
"District Judge, 247th Judicial District",0243,138,43,181,457,39.61%,1,179,180
"District Judge, 247th Judicial District",0244,480,425,905,3117,29.03%,502,356,858
"District Judge, 247th Judicial District",0245,945,799,1745,5828,29.94%,1219,488,1707
"District Judge, 247th Judicial District",0246,584,513,1197,3315,36.11%,849,310,1159
"District Judge, 247th Judicial District",0247,173,254,427,1582,26.99%,13,408,421
"District Judge, 247th Judicial District",0248,161,167,328,2100,15.62%,93,220,313
"District Judge, 247th Judicial District",0249,461,348,809,2719,29.75%,561,224,785
"District Judge, 247th Judicial District",0250,109,164,273,964,28.32%,7,261,268
"District Judge, 247th Judicial District",0251,278,436,714,2089,34.18%,25,675,700
"District Judge, 247th Judicial District",0252,504,312,816,2377,34.33%,13,785,798
"District Judge, 247th Judicial District",0253,379,222,601,2177,27.61%,11,577,588
"District Judge, 247th Judicial District",0254,93,112,205,1550,13.23%,67,128,195
"District Judge, 247th Judicial District",0255,525,648,1173,2482,47.26%,518,573,1091
"District Judge, 247th Judicial District",0256,575,449,1024,3254,31.47%,484,488,972
"District Judge, 247th Judicial District",0257,204,245,449,2523,17.80%,134,291,425
"District Judge, 247th Judicial District",0258,839,800,1539,3322,49.34%,1135,392,1527
"District Judge, 247th Judicial District",0259,555,382,1038,2361,43.96%,19,993,1012
"District Judge, 247th Judicial District",0260,152,145,307,1260,24.37%,181,103,284
"District Judge, 247th Judicial District",0261,124,120,244,1417,17.22%,102,133,235
"District Judge, 247th Judicial District",0262,758,600,1358,4397,30.88%,818,458,1276
"District Judge, 247th Judicial District",0263,858,712,1570,3693,42.51%,1205,311,1516
"District Judge, 247th Judicial District",0264,480,457,937,2963,31.62%,559,322,881
