Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0001,808,518,1322,2155,81.35%,852,290,1142
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0002,753,407,1180,1890,81.38%,745,252,997
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0003,880,474,1134,1519,74.85%,702,312,1014
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0004,878,534,1210,1852,73.24%,707,398,1105
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0005,472,518,990,1378,71.95%,585,307,892
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0008,1251,929,2180,3818,80.29%,1274,317,1591
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0007,495,124,819,1058,58.51%,257,98,355
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0008,881,430,1091,1708,83.95%,715,247,982
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0009,472,382,854,1738,49.19%,528,158,882
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0010,499,245,744,1722,43.21%,389,139,528
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0011,418,335,753,1830,41.15%,413,124,537
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0013,0,2,2,3,88.87%,0,0,0
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0014,758,808,1384,1848,73.81%,948,312,1258
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0015,1144,1018,2180,2808,78.98%,1488,428,1894
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0018,457,175,832,947,88.74%,415,145,580
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0017,348,328,872,1105,80.81%,418,144,580
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0018,550,483,1033,1398,74.00%,895,227,922
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0019,423,281,884,995,88.74%,472,138,810
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0020,878,470,1148,3074,37.35%,700,270,970
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0021,419,230,849,1013,84.07%,420,121,541
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0022,888,554,1442,2524,57.13%,903,198,1099
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0023,99,85,184,512,32.03%,108,15,121
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0024,225,121,348,811,58.83%,191,49,240
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0025,244,304,548,1082,51.80%,314,90,404
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0028,483,488,949,1843,51.49%,589,232,801
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0027,821,895,1518,3005,50.45%,850,374,1224
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0030,798,588,1388,2034,88.14%,858,259,1115
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0031,911,528,1437,2518,57.07%,834,214,1048
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0032,798,558,1352,2171,82.28%,883,293,1178
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0033,1479,843,2322,3540,85.59%,1525,529,2054
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0034,1012,749,1781,2878,85.81%,1080,521,1581
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0035,4,0,4,12,33.33%,3,1,4
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0038,993,479,1472,2888,51.32%,814,289,1083
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0037,801,479,1280,1885,87.90%,788,380,1148
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0038,1241,673,1914,2703,70.81%,1209,501,1710
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0039,1063,723,1786,2726,65.52%,1007,600,1607
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0040,239,135,374,524,71.37%,214,113,327
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0041,560,284,844,1197,70.51%,489,116,605
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0042,505,139,644,1121,57.45%,329,99,428
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0043,520,372,892,1644,54.26%,533,181,714
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0044,492,314,806,1976,40.79%,469,149,618
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0045,0,0,0,0,0.00%,0,0,0
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0046,538,433,971,2468,39.34%,592,181,773
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0047,535,345,880,1624,54.19%,512,134,646
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0048,371,193,564,992,56.85%,314,81,395
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0049,1157,636,1793,2969,60.39%,1033,276,1309
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0050,1901,1110,3011,4762,63.23%,1862,427,2289
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0052,970,620,1590,2299,69.16%,1109,294,1403
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0053,1102,884,1986,2808,70.73%,1228,552,1780
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0054,606,402,1008,1408,71.59%,633,268,901
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0055,441,394,835,1305,63.98%,572,162,734
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0056,548,307,855,1285,66.54%,577,163,740
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0057,1273,956,2229,3062,72.80%,1388,679,2067
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0058,881,747,1628,2521,64.58%,1055,367,1422
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0059,914,751,1665,2283,72.93%,1106,392,1498
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0060,839,664,1503,2263,66.42%,844,500,1344
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0061,435,528,963,2250,42.80%,578,153,731
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0062,419,528,947,2190,43.24%,551,164,715
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0064,410,420,830,2090,39.71%,485,128,613
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0065,404,532,936,2178,42.98%,545,150,695
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0066,172,279,451,1090,41.38%,247,53,300
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0067,664,574,1238,2742,45.15%,765,192,957
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0068,1198,486,1684,2782,60.53%,945,258,1203
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0069,218,284,502,1303,38.53%,278,85,363
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0070,1633,726,2359,3142,75.08%,1493,581,2074
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0071,1419,948,2367,3662,64.64%,1586,454,2040
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0072,441,562,1003,1882,53.29%,606,214,820
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0073,499,496,995,1494,66.60%,630,260,890
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0074,0,1,1,0,0.00%,1,0,1
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0075,481,370,851,1329,64.03%,520,231,751
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0076,731,480,1211,2009,60.28%,741,228,969
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0077,168,81,249,565,44.07%,156,23,179
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0078,359,344,703,1479,47.53%,445,150,595
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0079,511,717,1228,2959,41.50%,668,235,903
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0080,1159,481,1640,2712,60.47%,905,315,1220
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0081,0,3,3,1,300.00%,2,1,3
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0082,1353,816,2169,3284,66.05%,1246,323,1569
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0083,126,92,218,491,44.40%,130,50,180
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0085,730,548,1278,2079,61.47%,834,198,1032
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0086,1054,689,1743,2637,66.10%,1233,300,1533
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0087,1222,861,2083,2749,75.77%,1460,409,1869
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0089,342,454,796,1104,72.10%,582,126,708
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0090,848,599,1447,2134,67.81%,997,193,1190
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0092,1105,534,1639,2228,73.56%,1101,278,1379
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0094,148,104,252,537,46.93%,153,42,195
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0095,1684,671,2355,3179,74.08%,1626,416,2042
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0096,364,237,601,1241,48.43%,388,72,460
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0097,0,1,1,0,0.00%,1,0,1
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0098,874,607,1481,2403,61.63%,768,352,1120
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0101,203,186,389,941,41.34%,226,62,288
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0102,0,1,1,0,0.00%,1,0,1
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0104,992,238,1230,1847,66.59%,557,218,775
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0105,462,453,915,2153,42.50%,550,183,733
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0106,49,37,86,284,30.28%,48,15,63
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0107,412,441,853,1905,44.78%,491,138,629
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0108,1193,514,1707,3229,52.86%,968,245,1213
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0109,1160,430,1590,2884,55.13%,746,418,1164
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0110,1465,589,2054,2853,71.99%,1207,307,1514
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0111,1868,848,2716,3638,74.66%,1744,333,2077
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0112,1262,668,1930,2894,66.69%,1185,276,1461
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0113,1125,590,1715,2537,67.60%,1039,240,1279
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0114,1452,546,1998,2648,75.45%,1203,278,1481
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0115,598,305,903,1764,51.19%,442,152,594
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0116,1626,747,2373,3014,78.73%,1887,243,2130
"Metropolitan Transit Authority, Referendum on Street Improvement Mobility Program",0117,398,462,860,1878,45.79%,514,184,698
