Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0001,808,516,1324,2155,61.44%,441,799,1240
"Justice, 14th Court of Appeals District, Place 8",0002,754,407,1161,1890,61.43%,549,538,1087
"Justice, 14th Court of Appeals District, Place 8",0003,660,474,1134,1519,74.65%,445,585,1030
"Justice, 14th Court of Appeals District, Place 8",0004,676,534,1210,1652,73.24%,456,671,1127
"Justice, 14th Court of Appeals District, Place 8",0005,472,518,990,1376,71.95%,402,503,905
"Justice, 14th Court of Appeals District, Place 8",0006,1251,929,2180,3616,60.29%,1166,910,2076
"Justice, 14th Court of Appeals District, Place 8",0007,495,124,619,1058,58.51%,14,591,605
"Justice, 14th Court of Appeals District, Place 8",0008,661,430,1091,1706,63.95%,537,488,1025
"Justice, 14th Court of Appeals District, Place 8",0009,473,382,855,1736,49.25%,161,641,802
"Justice, 14th Court of Appeals District, Place 8",0010,499,245,744,1722,43.21%,148,532,680
"Justice, 14th Court of Appeals District, Place 8",0011,418,335,753,1830,41.15%,117,586,703
"Justice, 14th Court of Appeals District, Place 8",0012,227,133,360,716,50.28%,185,161,346
"Justice, 14th Court of Appeals District, Place 8",0013,1140,443,1583,2823,56.08%,1039,452,1491
"Justice, 14th Court of Appeals District, Place 8",0014,761,606,1367,1848,73.97%,744,521,1265
"Justice, 14th Court of Appeals District, Place 8",0015,1144,1016,2160,2806,76.98%,1333,642,1975
"Justice, 14th Court of Appeals District, Place 8",0016,457,175,632,947,66.74%,294,282,576
"Justice, 14th Court of Appeals District, Place 8",0017,347,326,673,1105,60.90%,252,370,622
"Justice, 14th Court of Appeals District, Place 8",0018,550,483,1033,1396,74.00%,517,438,955
"Justice, 14th Court of Appeals District, Place 8",0019,423,261,684,995,68.74%,245,385,630
"Justice, 14th Court of Appeals District, Place 8",0020,679,470,1149,3074,37.38%,330,727,1057
"Justice, 14th Court of Appeals District, Place 8",0021,419,230,649,1013,64.07%,143,469,612
"Justice, 14th Court of Appeals District, Place 8",0022,888,554,1442,2524,57.13%,205,1172,1377
"Justice, 14th Court of Appeals District, Place 8",0023,100,65,165,512,32.23%,35,122,157
"Justice, 14th Court of Appeals District, Place 8",0024,225,121,346,611,56.63%,36,287,323
"Justice, 14th Court of Appeals District, Place 8",0025,244,304,548,1062,51.60%,22,504,526
"Justice, 14th Court of Appeals District, Place 8",0026,463,486,949,1843,51.49%,220,668,888
"Justice, 14th Court of Appeals District, Place 8",0027,821,595,1516,3005,50.45%,315,1111,1426
"Justice, 14th Court of Appeals District, Place 8",0028,1446,465,1911,2782,68.69%,1095,715,1810
"Justice, 14th Court of Appeals District, Place 8",0029,418,577,995,2659,37.42%,299,647,946
"Justice, 14th Court of Appeals District, Place 8",0030,798,588,1386,2034,68.14%,345,957,1302
"Justice, 14th Court of Appeals District, Place 8",0031,913,526,1439,2518,57.15%,25,1382,1407
"Justice, 14th Court of Appeals District, Place 8",0032,796,556,1352,2171,62.28%,644,588,1232
"Justice, 14th Court of Appeals District, Place 8",0033,1479,843,2322,3540,65.59%,938,1171,2109
"Justice, 14th Court of Appeals District, Place 8",0034,1013,749,1762,2676,65.84%,482,1172,1654
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0035,4,0,4,12,33.33%,1,3,4
"Justice, 14th Court of Appeals District, Place 8",0036,993,479,1472,2868,51.32%,354,1035,1389
"Justice, 14th Court of Appeals District, Place 8",0037,801,479,1280,1885,67.90%,442,741,1183
"Justice, 14th Court of Appeals District, Place 8",0038,1241,673,1914,2703,70.81%,688,1067,1755
"Justice, 14th Court of Appeals District, Place 8",0039,1064,723,1787,2726,65.55%,537,1123,1660
"Justice, 14th Court of Appeals District, Place 8",0040,239,135,374,524,71.37%,205,134,339
"Justice, 14th Court of Appeals District, Place 8",0041,560,284,844,1197,70.51%,351,465,816
"Justice, 14th Court of Appeals District, Place 8",0042,505,139,644,1121,57.45%,11,608,619
"Justice, 14th Court of Appeals District, Place 8",0043,520,372,892,1644,54.26%,406,424,830
"Justice, 14th Court of Appeals District, Place 8",0044,492,314,806,1976,40.79%,145,611,756
"Justice, 14th Court of Appeals District, Place 8",0045,2434,1138,3572,6031,59.23%,577,2858,3435
"Justice, 14th Court of Appeals District, Place 8",0046,538,433,971,2468,39.34%,131,798,929
"Justice, 14th Court of Appeals District, Place 8",0047,535,345,880,1624,54.19%,21,845,866
"Justice, 14th Court of Appeals District, Place 8",0048,371,193,564,992,56.85%,41,502,543
"Justice, 14th Court of Appeals District, Place 8",0049,1229,669,1898,3144,60.37%,1285,523,1808
"Justice, 14th Court of Appeals District, Place 8",0050,1904,1110,3014,4762,63.29%,1526,1362,2888
"Justice, 14th Court of Appeals District, Place 8",0051,657,349,1006,1568,64.16%,709,253,962
"Justice, 14th Court of Appeals District, Place 8",0052,972,620,1592,2299,69.25%,810,650,1460
"Justice, 14th Court of Appeals District, Place 8",0053,1102,884,1986,2808,70.73%,868,938,1806
"Justice, 14th Court of Appeals District, Place 8",0054,607,402,1009,1408,71.66%,511,415,926
"Justice, 14th Court of Appeals District, Place 8",0055,441,394,835,1305,63.98%,340,425,765
"Justice, 14th Court of Appeals District, Place 8",0056,548,307,855,1285,66.54%,549,239,788
"Justice, 14th Court of Appeals District, Place 8",0057,1274,956,2230,3062,72.83%,948,1107,2055
"Justice, 14th Court of Appeals District, Place 8",0058,882,747,1629,2521,64.62%,673,833,1506
"Justice, 14th Court of Appeals District, Place 8",0059,914,751,1665,2283,72.93%,677,845,1522
"Justice, 14th Court of Appeals District, Place 8",0060,840,664,1504,2263,66.46%,438,948,1386
"Justice, 14th Court of Appeals District, Place 8",0061,435,528,963,2250,42.80%,234,688,922
"Justice, 14th Court of Appeals District, Place 8",0062,419,528,947,2190,43.24%,160,705,865
"Justice, 14th Court of Appeals District, Place 8",0063,674,400,1074,1784,60.20%,840,170,1010
"Justice, 14th Court of Appeals District, Place 8",0064,410,420,830,2090,39.71%,129,655,784
"Justice, 14th Court of Appeals District, Place 8",0065,404,532,936,2178,42.98%,146,742,888
"Justice, 14th Court of Appeals District, Place 8",0066,172,279,451,1090,41.38%,57,360,417
"Justice, 14th Court of Appeals District, Place 8",0067,665,574,1239,2742,45.19%,233,904,1137
"Justice, 14th Court of Appeals District, Place 8",0068,1199,486,1685,2782,60.57%,28,1597,1625
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0069,218,284,502,1303,38.53%,64,389,453
"Justice, 14th Court of Appeals District, Place 8",0070,1634,726,2360,3142,75.11%,1455,727,2182
"Justice, 14th Court of Appeals District, Place 8",0071,1423,948,2371,3662,64.75%,1194,1010,2204
"Justice, 14th Court of Appeals District, Place 8",0072,441,562,1003,1882,53.29%,216,719,935
"Justice, 14th Court of Appeals District, Place 8",0073,500,496,996,1494,66.67%,545,371,916
"Justice, 14th Court of Appeals District, Place 8",0074,2212,530,2742,3632,75.50%,2072,495,2567
"Justice, 14th Court of Appeals District, Place 8",0075,482,370,852,1329,64.11%,327,463,790
"Justice, 14th Court of Appeals District, Place 8",0076,814,559,1383,2328,59.41%,695,599,1294
"Justice, 14th Court of Appeals District, Place 8",0077,168,81,249,565,44.07%,52,182,234
"Justice, 14th Court of Appeals District, Place 8",0078,359,344,703,1479,47.53%,172,464,636
"Justice, 14th Court of Appeals District, Place 8",0079,511,717,1228,2959,41.50%,176,968,1144
"Justice, 14th Court of Appeals District, Place 8",0080,1159,481,1640,2712,60.47%,312,1251,1563
"Justice, 14th Court of Appeals District, Place 8",0081,540,309,849,1839,46.17%,250,541,791
"Justice, 14th Court of Appeals District, Place 8",0082,1353,816,2169,3284,66.05%,1564,506,2070
"Justice, 14th Court of Appeals District, Place 8",0083,2528,1181,3809,5598,68.04%,1741,1915,3656
"Justice, 14th Court of Appeals District, Place 8",0084,444,346,790,1389,56.88%,543,213,756
"Justice, 14th Court of Appeals District, Place 8",0085,730,548,1278,2079,61.47%,26,1192,1218
"Justice, 14th Court of Appeals District, Place 8",0086,1054,689,1743,2637,66.10%,777,831,1608
"Justice, 14th Court of Appeals District, Place 8",0087,1222,861,2083,2749,75.77%,1333,576,1909
"Justice, 14th Court of Appeals District, Place 8",0088,235,162,397,678,58.55%,244,136,380
"Justice, 14th Court of Appeals District, Place 8",0089,343,454,797,1104,72.19%,481,247,728
"Justice, 14th Court of Appeals District, Place 8",0090,1498,958,2456,3571,68.78%,1773,545,2318
"Justice, 14th Court of Appeals District, Place 8",0091,466,333,799,1248,64.02%,476,291,767
"Justice, 14th Court of Appeals District, Place 8",0092,1105,534,1639,2228,73.56%,1104,431,1535
"Justice, 14th Court of Appeals District, Place 8",0093,782,643,1425,3295,43.25%,475,862,1337
"Justice, 14th Court of Appeals District, Place 8",0094,148,104,252,537,46.93%,48,191,239
"Justice, 14th Court of Appeals District, Place 8",0095,1585,571,2356,3179,74.11%,1587,619,2206
"Justice, 14th Court of Appeals District, Place 8",0096,364,237,601,1241,48.43%,53,528,581
"Justice, 14th Court of Appeals District, Place 8",0097,2393,764,3157,4566,69.14%,2264,733,2997
