Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0001,808,518,1324,2155,81.44%,479,749,1228
"Justice, 14th Court of Appeals District, Place 5",0002,754,407,1181,1890,81.43%,572,509,1081
"Justice, 14th Court of Appeals District, Place 5",0003,880,474,1134,1519,74.85%,480,559,1039
"Justice, 14th Court of Appeals District, Place 5",0004,878,534,1210,1852,73.24%,479,849,1128
"Justice, 14th Court of Appeals District, Place 5",0005,472,518,990,1378,71.95%,410,492,902
"Justice, 14th Court of Appeals District, Place 5",0008,1251,929,2180,3818,80.29%,1200,875,2075
"Justice, 14th Court of Appeals District, Place 5",0007,495,124,819,1058,58.51%,14,588,802
"Justice, 14th Court of Appeals District, Place 5",0008,881,430,1091,1708,83.95%,552,487,1019
"Justice, 14th Court of Appeals District, Place 5",0009,473,382,855,1738,49.25%,187,809,798
"Justice, 14th Court of Appeals District, Place 5",0010,499,245,744,1722,43.21%,171,498,889
"Justice, 14th Court of Appeals District, Place 5",0011,418,335,753,1830,41.15%,145,554,899
"Justice, 14th Court of Appeals District, Place 5",0012,227,133,380,718,50.28%,188,180,348
"Justice, 14th Court of Appeals District, Place 5",0013,1140,443,1583,2823,58.08%,1044,447,1491
"Justice, 14th Court of Appeals District, Place 5",0014,781,808,1387,1848,73.97%,747,509,1258
"Justice, 14th Court of Appeals District, Place 5",0015,1144,1018,2180,2808,78.98%,1388,591,1979
"Justice, 14th Court of Appeals District, Place 5",0018,457,175,832,947,88.74%,304,272,578
"Justice, 14th Court of Appeals District, Place 5",0017,347,328,873,1105,80.90%,281,355,818
"Justice, 14th Court of Appeals District, Place 5",0018,550,483,1033,1398,74.00%,530,424,954
"Justice, 14th Court of Appeals District, Place 5",0019,423,281,884,995,88.74%,250,381,831
"Justice, 14th Court of Appeals District, Place 5",0020,879,470,1149,3074,37.38%,338,718,1054
"Justice, 14th Court of Appeals District, Place 5",0021,419,230,849,1013,84.07%,147,485,812
"Justice, 14th Court of Appeals District, Place 5",0022,888,554,1442,2524,57.13%,218,1159,1377
"Justice, 14th Court of Appeals District, Place 5",0023,100,85,185,512,32.23%,38,118,158
"Justice, 14th Court of Appeals District, Place 5",0024,225,121,348,811,58.83%,37,288,325
"Justice, 14th Court of Appeals District, Place 5",0025,244,304,548,1082,51.80%,28,500,528
"Justice, 14th Court of Appeals District, Place 5",0028,483,488,949,1843,51.49%,281,812,873
"Justice, 14th Court of Appeals District, Place 5",0027,821,895,1518,3005,50.45%,371,1035,1408
"Justice, 14th Court of Appeals District, Place 5",0028,1448,485,1911,2782,88.89%,1112,891,1803
"Justice, 14th Court of Appeals District, Place 5",0029,418,577,995,2859,37.42%,318,828,942
"Justice, 14th Court of Appeals District, Place 5",0030,798,588,1388,2034,88.14%,359,947,1308
"Justice, 14th Court of Appeals District, Place 5",0031,913,528,1439,2518,57.15%,24,1381,1405
"Justice, 14th Court of Appeals District, Place 5",0032,798,558,1352,2171,82.28%,858,578,1232
"Justice, 14th Court of Appeals District, Place 5",0033,1479,843,2322,3540,85.59%,957,1158,2113
"Justice, 14th Court of Appeals District, Place 5",0034,1013,749,1782,2878,85.84%,503,1145,1848
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0035,4,0,4,12,33.33%,1,3,4
"Justice, 14th Court of Appeals District, Place 5",0036,993,479,1472,2868,51.32%,382,1004,1386
"Justice, 14th Court of Appeals District, Place 5",0037,801,479,1280,1885,67.90%,446,734,1180
"Justice, 14th Court of Appeals District, Place 5",0038,1241,673,1914,2703,70.81%,733,1020,1753
"Justice, 14th Court of Appeals District, Place 5",0039,1064,723,1787,2726,65.55%,548,1109,1657
"Justice, 14th Court of Appeals District, Place 5",0040,239,135,374,524,71.37%,220,125,345
"Justice, 14th Court of Appeals District, Place 5",0041,560,284,844,1197,70.51%,369,447,816
"Justice, 14th Court of Appeals District, Place 5",0042,505,139,644,1121,57.45%,9,608,617
"Justice, 14th Court of Appeals District, Place 5",0043,520,372,892,1644,54.26%,428,398,826
"Justice, 14th Court of Appeals District, Place 5",0044,492,314,806,1976,40.79%,165,579,744
"Justice, 14th Court of Appeals District, Place 5",0045,2434,1138,3572,6031,59.23%,607,2819,3426
"Justice, 14th Court of Appeals District, Place 5",0046,538,433,971,2468,39.34%,165,751,916
"Justice, 14th Court of Appeals District, Place 5",0047,535,345,880,1624,54.19%,23,840,863
"Justice, 14th Court of Appeals District, Place 5",0048,371,193,564,992,56.85%,48,493,541
"Justice, 14th Court of Appeals District, Place 5",0049,1229,559,1898,3144,60.37%,1312,493,1805
"Justice, 14th Court of Appeals District, Place 5",0050,1904,1110,3014,4762,63.29%,1555,1324,2879
"Justice, 14th Court of Appeals District, Place 5",0051,657,349,1006,1568,64.16%,728,228,956
"Justice, 14th Court of Appeals District, Place 5",0052,972,620,1592,2299,69.25%,834,626,1460
"Justice, 14th Court of Appeals District, Place 5",0053,1102,884,1986,2808,70.73%,897,914,1811
"Justice, 14th Court of Appeals District, Place 5",0054,607,402,1009,1408,71.66%,525,404,929
"Justice, 14th Court of Appeals District, Place 5",0055,441,394,835,1305,63.98%,346,414,760
"Justice, 14th Court of Appeals District, Place 5",0056,548,307,855,1285,66.54%,556,235,791
"Justice, 14th Court of Appeals District, Place 5",0057,1274,956,2230,3062,72.83%,991,1057,2048
"Justice, 14th Court of Appeals District, Place 5",0058,882,747,1629,2521,64.62%,728,777,1505
"Justice, 14th Court of Appeals District, Place 5",0059,914,751,1665,2283,72.93%,711,817,1528
"Justice, 14th Court of Appeals District, Place 5",0060,840,664,1504,2263,66.46%,466,922,1388
"Justice, 14th Court of Appeals District, Place 5",0061,435,528,963,2250,42.80%,248,661,909
"Justice, 14th Court of Appeals District, Place 5",0062,419,528,947,2190,43.24%,202,655,857
"Justice, 14th Court of Appeals District, Place 5",0063,674,400,1074,1784,60.20%,831,175,1006
"Justice, 14th Court of Appeals District, Place 5",0064,410,420,830,2090,39.71%,147,633,780
"Justice, 14th Court of Appeals District, Place 5",0065,404,532,936,2178,42.98%,177,705,882
"Justice, 14th Court of Appeals District, Place 5",0066,172,279,451,1090,41.38%,67,347,414
"Justice, 14th Court of Appeals District, Place 5",0067,665,574,1239,2742,45.19%,279,854,1133
"Justice, 14th Court of Appeals District, Place 5",0068,1199,486,1685,2782,60.57%,29,1601,1630
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0069,218,284,502,1303,38.53%,82,366,448
"Justice, 14th Court of Appeals District, Place 5",0070,1634,726,2360,3142,75.11%,1490,696,2186
"Justice, 14th Court of Appeals District, Place 5",0071,1423,948,2371,3662,64.75%,1237,975,2212
"Justice, 14th Court of Appeals District, Place 5",0072,441,562,1003,1882,53.29%,269,649,918
"Justice, 14th Court of Appeals District, Place 5",0073,500,496,996,1494,66.67%,569,344,913
"Justice, 14th Court of Appeals District, Place 5",0074,2212,530,2742,3632,75.50%,2101,460,2561
"Justice, 14th Court of Appeals District, Place 5",0075,482,370,852,1329,64.11%,345,440,785
"Justice, 14th Court of Appeals District, Place 5",0076,814,559,1383,2328,59.41%,744,547,1291
"Justice, 14th Court of Appeals District, Place 5",0077,168,81,249,565,44.07%,54,178,232
"Justice, 14th Court of Appeals District, Place 5",0078,359,344,703,1479,47.53%,201,431,632
"Justice, 14th Court of Appeals District, Place 5",0079,511,717,1228,2959,41.50%,236,890,1126
"Justice, 14th Court of Appeals District, Place 5",0080,1159,481,1640,2712,60.47%,344,1207,1551
"Justice, 14th Court of Appeals District, Place 5",0081,540,309,849,1839,46.17%,263,522,785
"Justice, 14th Court of Appeals District, Place 5",0082,1353,816,2169,3284,66.05%,1587,480,2067
"Justice, 14th Court of Appeals District, Place 5",0083,2528,1181,3809,5598,68.04%,1801,1862,3663
"Justice, 14th Court of Appeals District, Place 5",0084,444,346,790,1389,56.88%,549,211,760
"Justice, 14th Court of Appeals District, Place 5",0085,730,548,1278,2079,61.47%,36,1188,1224
"Justice, 14th Court of Appeals District, Place 5",0086,1054,689,1743,2637,66.10%,812,799,1611
"Justice, 14th Court of Appeals District, Place 5",0087,1222,861,2083,2749,75.77%,1401,512,1913
"Justice, 14th Court of Appeals District, Place 5",0088,235,162,397,678,58.55%,249,131,380
"Justice, 14th Court of Appeals District, Place 5",0089,343,454,797,1104,72.19%,506,231,737
"Justice, 14th Court of Appeals District, Place 5",0090,1498,958,2456,3571,68.78%,1802,515,2317
"Justice, 14th Court of Appeals District, Place 5",0091,466,333,799,1248,64.02%,489,278,767
"Justice, 14th Court of Appeals District, Place 5",0092,1105,534,1639,2228,73.56%,1130,398,1528
"Justice, 14th Court of Appeals District, Place 5",0093,782,643,1425,3295,43.25%,519,809,1328
"Justice, 14th Court of Appeals District, Place 5",0094,148,104,252,537,46.93%,51,185,236
"Justice, 14th Court of Appeals District, Place 5",0095,1585,571,2356,3179,74.11%,1615,590,2205
"Justice, 14th Court of Appeals District, Place 5",0096,364,237,601,1241,48.43%,58,525,583
"Justice, 14th Court of Appeals District, Place 5",0097,2393,764,3157,4566,69.14%,2269,722,2991
"Justice, 14th Court of Appeals District, Place 5",0098,874,607,1481,2403,61.63%,1202,218,1420
"Justice, 14th Court of Appeals District, Place 5",0099,568,311,879,2040,43.09%,398,445,843
"Justice, 14th Court of Appeals District, Place 5",0100,427,324,751,1754,42.82%,325,393,718
"Justice, 14th Court of Appeals District, Place 5",0101,204,186,390,941,41.45%,89,289,378
"Justice, 14th Court of Appeals District, Place 5",0102,493,268,761,1910,39.84%,198,534,732
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0103,1915,1065,2980,4751,62.72%,1551,1295,2846
"Justice, 14th Court of Appeals District, Place 5",0104,992,238,1230,1847,66.59%,26,1169,1195
"Justice, 14th Court of Appeals District, Place 5",0105,462,453,915,2153,42.50%,232,616,848
"Justice, 14th Court of Appeals District, Place 5",0106,49,37,86,284,30.28%,41,41,82
"Justice, 14th Court of Appeals District, Place 5",0107,412,441,853,1905,44.78%,146,673,819
"Justice, 14th Court of Appeals District, Place 5",0108,1194,514,1708,3229,52.90%,892,729,1621
"Justice, 14th Court of Appeals District, Place 5",0109,1160,430,1590,2884,55.13%,28,1519,1547
"Justice, 14th Court of Appeals District, Place 5",0110,1465,589,2054,2853,71.99%,1230,712,1942
"Justice, 14th Court of Appeals District, Place 5",0111,1868,848,2716,3638,74.66%,1992,562,2554
"Justice, 14th Court of Appeals District, Place 5",0112,1262,668,1930,2894,66.69%,1352,489,1841
"Justice, 14th Court of Appeals District, Place 5",0113,1125,590,1715,2537,67.60%,972,656,1628
"Justice, 14th Court of Appeals District, Place 5",0114,1454,546,2000,2650,75.47%,1551,371,1922
"Justice, 14th Court of Appeals District, Place 5",0115,598,305,903,1764,51.19%,98,780,878
"Justice, 14th Court of Appeals District, Place 5",0116,1626,747,2373,3014,78.73%,1831,414,2245
"Justice, 14th Court of Appeals District, Place 5",0117,398,462,860,1878,45.79%,360,449,809
"Justice, 14th Court of Appeals District, Place 5",0118,460,148,608,743,81.83%,485,87,572
"Justice, 14th Court of Appeals District, Place 5",0119,1924,1265,3189,4892,65.19%,2487,587,3074
"Justice, 14th Court of Appeals District, Place 5",0120,1198,632,1830,2986,61.29%,1092,614,1706
"Justice, 14th Court of Appeals District, Place 5",0121,193,244,437,679,64.36%,282,132,414
"Justice, 14th Court of Appeals District, Place 5",0122,895,349,1244,2199,56.57%,36,1156,1192
"Justice, 14th Court of Appeals District, Place 5",0123,440,350,790,1356,58.26%,238,491,729
"Justice, 14th Court of Appeals District, Place 5",0124,3522,1281,4803,5952,80.70%,3764,818,4582
"Justice, 14th Court of Appeals District, Place 5",0125,896,534,1430,2281,62.69%,813,553,1366
"Justice, 14th Court of Appeals District, Place 5",0126,1630,407,2037,2799,72.78%,1729,210,1939
"Justice, 14th Court of Appeals District, Place 5",0127,854,182,1036,1703,60.83%,714,280,994
"Justice, 14th Court of Appeals District, Place 5",0128,936,736,1672,2257,74.08%,1075,428,1503
"Justice, 14th Court of Appeals District, Place 5",0129,2294,1449,3743,5495,68.12%,2341,1180,3521
