"City of Houston, Proposition B",0001,806,516,1322,2155,61.35%,865,256,1121
"City of Houston, Proposition B",0002,753,407,1160,1890,61.38%,762,211,973
"City of Houston, Proposition B",0003,660,474,1134,1519,74.65%,799,203,1002
"City of Houston, Proposition B",0004,676,534,1210,1652,73.24%,847,229,1076
"City of Houston, Proposition B",0005,472,518,990,1376,71.95%,689,199,888
"City of Houston, Proposition B",0007,495,124,619,1058,58.51%,232,113,345
"City of Houston, Proposition B",0008,661,430,1091,1706,63.95%,589,332,921
"City of Houston, Proposition B",0009,472,382,854,1736,49.19%,492,143,635
"City of Houston, Proposition B",0010,499,245,744,1722,43.21%,358,139,497
"City of Houston, Proposition B",0011,418,335,753,1830,41.15%,384,127,511
"City of Houston, Proposition B",0013,0,2,2,3,66.67%,0,0,0
"City of Houston, Proposition B",0014,758,606,1364,1848,73.81%,846,387,1233
"City of Houston, Proposition B",0016,457,175,632,947,66.74%,423,127,550
"City of Houston, Proposition B",0017,346,326,672,1105,60.81%,379,169,548
"City of Houston, Proposition B",0018,550,483,1033,1396,74.00%,642,272,914
"City of Houston, Proposition B",0019,423,261,684,995,68.74%,471,117,588
"City of Houston, Proposition B",0020,678,470,1148,3074,37.35%,737,211,948
"City of Houston, Proposition B",0021,419,230,649,1013,64.07%,412,103,515
"City of Houston, Proposition B",0022,888,554,1442,2524,57.13%,786,250,1036
"City of Houston, Proposition B",0023,99,65,164,512,32.03%,89,23,112
"City of Houston, Proposition B",0024,225,121,346,611,56.63%,179,50,229
"City of Houston, Proposition B",0025,244,304,548,1062,51.60%,284,88,372
"City of Houston, Proposition B",0026,463,486,949,1843,51.49%,580,194,774
"City of Houston, Proposition B",0027,821,695,1516,3005,50.45%,875,284,1159
"City of Houston, Proposition B",0030,798,588,1386,2034,68.14%,869,216,1085
"City of Houston, Proposition B",0031,911,526,1437,2518,57.07%,748,234,982
"City of Houston, Proposition B",0032,796,556,1352,2171,62.28%,902,248,1150
"City of Houston, Proposition B",0033,1479,843,2322,3540,65.59%,1674,373,2047
"City of Houston, Proposition B",0034,1012,749,1761,2676,65.81%,1275,295,1570
"City of Houston, Proposition B",0035,3,0,3,10,30.00%,1,1,2
"City of Houston, Proposition B",0036,993,479,1472,2868,51.32%,702,364,1066
